Driver,Compound,Stint Length,Avg Lap Time (s)
ALB,HARD,34,80.2314705882353
ALB,INTERMEDIATE,25,96.44116
ALB,MEDIUM,18,81.79394444444443
ALO,HARD,54,78.74394444444444
ALO,INTERMEDIATE,23,94.8301304347826
ALO,MEDIUM,1,126.635
BOT,HARD,51,80.24186274509805
BOT,INTERMEDIATE,26,94.94646153846155
DEV,INTERMEDIATE,24,96.75316666666667
DEV,MEDIUM,53,80.51360377358489
GAS,HARD,47,78.63695744680851
GAS,INTERMEDIATE,24,95.449875
GAS,MEDIUM,7,86.80114285714285
HAM,HARD,23,79.84491304347826
HAM,INTERMEDIATE,24,94.98920833333334
HAM,MEDIUM,31,79.18929032258065
HUL,HARD,53,80.96630188679245
HUL,INTERMEDIATE,5,106.4518
HUL,MEDIUM,1,120.092
HUL,WET,17,96.2894705882353
LEC,HARD,44,78.74847727272727
LEC,INTERMEDIATE,23,95.19752173913044
LEC,MEDIUM,11,85.39945454545455
MAG,HARD,56,81.83605454545454
MAG,WET,15,104.55378571428571
NOR,HARD,4,100.1365
NOR,INTERMEDIATE,23,94.19186956521739
NOR,MEDIUM,50,79.38164
OCO,HARD,22,80.01790909090909
OCO,INTERMEDIATE,24,95.07600000000001
OCO,MEDIUM,32,78.961
PER,HARD,33,79.88912121212121
PER,INTERMEDIATE,10,97.6898
PER,MEDIUM,20,83.12885
PER,WET,13,100.39907692307692
PIA,HARD,54,80.74542592592591
PIA,INTERMEDIATE,23,95.02982608695653
RUS,HARD,54,79.33114814814815
RUS,INTERMEDIATE,24,95.80758333333334
SAI,HARD,33,78.9381515151515
SAI,INTERMEDIATE,23,95.02582608695653
SAI,MEDIUM,22,82.03718181818182
SAR,HARD,3,85.77466666666668
SAR,INTERMEDIATE,24,98.49904166666666
SAR,MEDIUM,20,82.1035
SAR,SOFT,29,80.74455172413793
STR,HARD,51,80.25413725490196
STR,INTERMEDIATE,3,94.255
TSU,INTERMEDIATE,23,99.63252173913042
TSU,MEDIUM,53,80.15050943396226
VER,INTERMEDIATE,23,94.51795652173914
VER,MEDIUM,55,79.23758181818182
ZHO,HARD,51,79.94835294117647
ZHO,INTERMEDIATE,25,96.30724000000001
ZHO,SOFT,1,118.785
